W0721 04:56:13.632000 191456 torch/distributed/run.py:793] 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
[init] run=synbios_moe_single_fsdp_4gpu device=cuda:0 strategy=fsdp world=4 params=293494272
[parallel_ready] {"event": "parallel_ready", "strategy": "fsdp", "fsdp_units": 13, "auto_wrap_policy": "transformer_block", "sharding_strategy": "full_shard"}
[train] batch 20/32 | epoch 6/540 | loss 1.12092 | lr 1.800e-04 | grad 0.165 | data-wait 0.3% | tok/s 350,448.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.0% | ETA 3:13:28
[train] batch 24/32 | epoch 6/540 | loss 1.11944 | lr 1.840e-04 | grad 0.181 | data-wait 0.3% | tok/s 350,332.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.1% | ETA 3:13:16
[train] batch 28/32 | epoch 6/540 | loss 1.11428 | lr 1.880e-04 | grad 0.166 | data-wait 0.1% | tok/s 351,585.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.1% | ETA 3:13:04
[train] batch 32/32 | epoch 6/540 | loss 1.11571 | lr 1.920e-04 | grad 0.279 | data-wait 0.0% | tok/s 351,234.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 1.1% | ETA 3:12:52
[train] batch 4/32 | epoch 7/540 | loss 1.11141 | lr 1.960e-04 | grad 0.146 | data-wait 0.5% | tok/s 338,057.2 | gpu-peak 20.39/23.65 GiB | gpu-util 94.3% | 1.1% | ETA 3:12:50
[train] batch 8/32 | epoch 7/540 | loss 1.10714 | lr 2.000e-04 | grad 0.141 | data-wait 0.2% | tok/s 351,065.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.2% | ETA 3:12:39
[train] batch 12/32 | epoch 7/540 | loss 1.10091 | lr 2.040e-04 | grad 0.138 | data-wait 0.8% | tok/s 346,194.3 | gpu-peak 20.39/23.65 GiB | gpu-util 97.7% | 1.2% | ETA 3:12:32
[train] batch 16/32 | epoch 7/540 | loss 1.09740 | lr 2.080e-04 | grad 0.137 | data-wait 0.2% | tok/s 353,398.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.2% | ETA 3:12:20
[train] batch 20/32 | epoch 7/540 | loss 1.09361 | lr 2.120e-04 | grad 0.136 | data-wait 0.2% | tok/s 348,220.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.2% | ETA 3:12:12
[train] batch 24/32 | epoch 7/540 | loss 1.08943 | lr 2.160e-04 | grad 0.162 | data-wait 0.3% | tok/s 350,529.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.2% | ETA 3:12:02
[train] batch 28/32 | epoch 7/540 | loss 1.08519 | lr 2.200e-04 | grad 0.135 | data-wait 0.1% | tok/s 348,806.0 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.3% | ETA 3:11:54
[train] batch 32/32 | epoch 7/540 | loss 1.08147 | lr 2.240e-04 | grad 0.148 | data-wait 0.0% | tok/s 349,897.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.3% | ETA 3:11:45
[train] batch 4/32 | epoch 8/540 | loss 1.07784 | lr 2.280e-04 | grad 0.169 | data-wait 0.6% | tok/s 340,888.3 | gpu-peak 20.39/23.65 GiB | gpu-util 95.9% | 1.3% | ETA 3:11:42
[train] batch 8/32 | epoch 8/540 | loss 1.07588 | lr 2.320e-04 | grad 0.181 | data-wait 0.2% | tok/s 352,170.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.3% | ETA 3:11:33
[train] batch 12/32 | epoch 8/540 | loss 1.06853 | lr 2.360e-04 | grad 0.146 | data-wait 0.2% | tok/s 350,077.1 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.4% | ETA 3:11:25
[train] batch 16/32 | epoch 8/540 | loss 1.06207 | lr 2.400e-04 | grad 0.148 | data-wait 0.3% | tok/s 352,567.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.4% | ETA 3:11:15
[train] batch 20/32 | epoch 8/540 | loss 1.05504 | lr 2.440e-04 | grad 0.163 | data-wait 0.2% | tok/s 350,867.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.4% | ETA 3:11:07
